21 - 1       0 - 1
52 - 2       0 - 2
51 - 3       0 - 3
43 - 4       0 - 4
52 - 5       0 - 5
52 - 6       0 - 6
52 - 7       0 - 7
52 - 8       0 - 8
52 - 9       0 - 9
52 - 10       0 - 10
52 - 11       0 - 11
52 - 12       0 - 12
45 - 13       0 - 13
52 - 14       0 - 14
52 - 15       0 - 15
52 - 16       0 - 16
52 - 17       0 - 17
52 - 18       0 - 18
52 - 19       0 - 19
52 - 20       0 - 20
52 - 21       0 - 21
45 - 22       0 - 22
52 - 23       0 - 23
50 - 24       0 - 24
50 - 25       0 - 25
52 - 26       0 - 26
52 - 27       0 - 27
52 - 28       0 - 28
50 - 29       0 - 29
45 - 30       0 - 30
52 - 31       0 - 31
52 - 32       0 - 32
45 - 33       0 - 33
52 - 34       0 - 34
52 - 35       0 - 35
50 - 36       0 - 36
52 - 37       0 - 37
45 - 38       0 - 38
50 - 39       0 - 39
45 - 40       0 - 40
52 - 41       0 - 41
52 - 42       0 - 42
50 - 43       0 - 43
52 - 44       0 - 44
50 - 45       0 - 45
50 - 46       0 - 46
52 - 47       0 - 47
52 - 48       0 - 48
52 - 49       0 - 49
52 - 50       0 - 50
52 - 51       0 - 51
52 - 52       0 - 52
52 - 53       0 - 53
52 - 54       0 - 54
50 - 55       0 - 55
52 - 56       0 - 56
52 - 57       0 - 57
52 - 58       0 - 58
52 - 59       0 - 59
45 - 60       0 - 60
51 - 61       0 - 61
52 - 62       0 - 62
52 - 63       0 - 63
52 - 64       0 - 64
52 - 65       0 - 65
52 - 66       0 - 66
50 - 67       0 - 67
52 - 68       0 - 68
52 - 69       0 - 69
52 - 70       0 - 70
52 - 71       0 - 71
50 - 72       0 - 72
52 - 73       0 - 73
52 - 74       0 - 74
52 - 75       0 - 75
52 - 76       0 - 76
52 - 77       0 - 77
52 - 78       0 - 78
52 - 79       0 - 79
52 - 80       0 - 80
52 - 81       0 - 81
52 - 82       0 - 82
52 - 83       0 - 83
52 - 84       0 - 84
52 - 85       0 - 85
52 - 86       0 - 86
52 - 87       0 - 87
0 - 88       0 - 88
52 - 89       0 - 89
52 - 90       0 - 90
52 - 91       0 - 91
52 - 92       0 - 92
52 - 93       0 - 93
52 - 94       0 - 94
52 - 95       0 - 95
50 - 96       0 - 96
50 - 97       0 - 97
52 - 98       0 - 98
52 - 99       0 - 99
52 - 100       0 - 100
52 - 101       0 - 101
52 - 102       0 - 102
50 - 103       0 - 103
52 - 104       0 - 104
50 - 105       0 - 105
52 - 106       0 - 106
52 - 107       0 - 107
52 - 108       0 - 108
52 - 109       0 - 109
52 - 110       0 - 110
50 - 111       0 - 111
50 - 112       0 - 112
52 - 113       0 - 113
52 - 114       0 - 114
52 - 115       0 - 115
52 - 116       0 - 116
52 - 117       0 - 117
40 - 118       0 - 118
50 - 119       0 - 119
50 - 120       0 - 120
52 - 121       -1 - 121
52 - 122       0 - 122
50 - 123       0 - 123
52 - 124       0 - 124
52 - 125       0 - 125
52 - 126       0 - 126
52 - 127       0 - 127
50 - 128       0 - 128
50 - 129       0 - 129
52 - 130       0 - 130
50 - 131       0 - 131
52 - 132       0 - 132
52 - 133       0 - 133
52 - 134       0 - 134
52 - 135       0 - 135
52 - 136       0 - 136
52 - 137       0 - 137
52 - 138       0 - 138
52 - 139       0 - 139
52 - 140       0 - 140
40 - 141       0 - 141
50 - 142       0 - 142
52 - 143       0 - 143
52 - 144       0 - 144
50 - 145       0 - 145
50 - 146       0 - 146
52 - 147       0 - 147
52 - 148       0 - 148
50 - 149       0 - 149
50 - 150       0 - 150
52 - 151       0 - 151
52 - 152       0 - 152
50 - 153       0 - 153
50 - 154       0 - 154
52 - 155       0 - 155
52 - 156       0 - 156
50 - 157       0 - 157
0 - 158       0 - 158
52 - 159       0 - 159
50 - 160       0 - 160
52 - 161       0 - 161
52 - 162       0 - 162
52 - 163       0 - 163
52 - 164       0 - 164
52 - 165       0 - 165
52 - 166       0 - 166
