26 - 1       0 - 1
40 - 2       0 - 2
50 - 3       0 - 3
52 - 4       0 - 4
52 - 5       0 - 5
50 - 6       0 - 6
52 - 7       0 - 7
52 - 8       0 - 8
52 - 9       0 - 9
45 - 10       0 - 10
52 - 11       0 - 11
52 - 12       0 - 12
52 - 13       0 - 13
52 - 14       0 - 14
52 - 15       0 - 15
52 - 16       0 - 16
52 - 17       0 - 17
52 - 18       0 - 18
52 - 19       0 - 19
52 - 20       0 - 20
52 - 21       0 - 21
52 - 22       0 - 22
52 - 23       0 - 23
52 - 24       0 - 24
52 - 25       0 - 25
52 - 26       0 - 26
52 - 27       0 - 27
52 - 28       0 - 28
52 - 29       0 - 29
50 - 30       0 - 30
43 - 31       0 - 31
50 - 32       0 - 32
52 - 33       0 - 33
52 - 34       0 - 34
52 - 35       0 - 35
52 - 36       0 - 36
52 - 37       0 - 37
52 - 38       0 - 38
52 - 39       0 - 39
52 - 40       0 - 40
52 - 41       0 - 41
52 - 42       0 - 42
52 - 43       0 - 43
52 - 44       0 - 44
50 - 45       0 - 45
52 - 46       0 - 46
52 - 47       0 - 47
52 - 48       0 - 48
50 - 49       0 - 49
52 - 50       0 - 50
0 - 51       0 - 51
52 - 52       0 - 52
50 - 53       0 - 53
52 - 54       0 - 54
52 - 55       0 - 55
52 - 56       0 - 56
52 - 57       0 - 57
0 - 58       0 - 58
52 - 59       0 - 59
52 - 60       0 - 60
52 - 61       0 - 61
52 - 62       0 - 62
0 - 63       0 - 63
52 - 64       0 - 64
52 - 65       0 - 65
50 - 66       0 - 66
52 - 67       0 - 67
52 - 68       0 - 68
52 - 69       0 - 69
52 - 70       0 - 70
52 - 71       0 - 71
52 - 72       0 - 72
52 - 73       0 - 73
52 - 74       0 - 74
52 - 75       0 - 75
52 - 76       0 - 76
52 - 77       0 - 77
50 - 78       0 - 78
52 - 79       0 - 79
52 - 80       0 - 80
52 - 81       0 - 81
52 - 82       0 - 82
52 - 83       0 - 83
52 - 84       0 - 84
52 - 85       0 - 85
51 - 86       0 - 86
52 - 87       0 - 87
52 - 88       0 - 88
52 - 89       0 - 89
52 - 90       0 - 90
52 - 91       0 - 91
52 - 92       0 - 92
52 - 93       0 - 93
52 - 94       0 - 94
52 - 95       0 - 95
52 - 96       0 - 96
52 - 97       0 - 97
52 - 98       0 - 98
52 - 99       0 - 99
52 - 100       0 - 100
52 - 101       -1 - 101
52 - 102       0 - 102
52 - 103       0 - 103
50 - 104       0 - 104
52 - 105       0 - 105
52 - 106       0 - 106
50 - 107       0 - 107
52 - 108       0 - 108
52 - 109       0 - 109
52 - 110       0 - 110
52 - 111       0 - 111
50 - 112       0 - 112
52 - 113       0 - 113
52 - 114       0 - 114
52 - 115       0 - 115
52 - 116       0 - 116
52 - 117       0 - 117
50 - 118       0 - 118
52 - 119       -1 - 119
52 - 120       0 - 120
52 - 121       0 - 121
52 - 122       0 - 122
52 - 123       0 - 123
52 - 124       0 - 124
52 - 125       0 - 125
50 - 126       0 - 126
52 - 127       0 - 127
52 - 128       0 - 128
45 - 129       0 - 129
52 - 130       0 - 130
50 - 131       0 - 131
50 - 132       0 - 132
52 - 133       0 - 133
50 - 134       0 - 134
52 - 135       0 - 135
52 - 136       0 - 136
52 - 137       0 - 137
49 - 138       0 - 138
52 - 139       0 - 139
52 - 140       0 - 140
52 - 141       0 - 141
52 - 142       -1 - 142
52 - 143       0 - 143
52 - 144       0 - 144
50 - 145       0 - 145
52 - 146       0 - 146
52 - 147       0 - 147
52 - 148       0 - 148
52 - 149       0 - 149
50 - 150       0 - 150
52 - 151       0 - 151
52 - 152       0 - 152
52 - 153       0 - 153
45 - 154       0 - 154
50 - 155       0 - 155
52 - 156       0 - 156
52 - 157       0 - 157
52 - 158       0 - 158
50 - 159       0 - 159
52 - 160       0 - 160
52 - 161       0 - 161
52 - 162       0 - 162
52 - 163       0 - 163
52 - 164       0 - 164
52 - 165       0 - 165
52 - 166       0 - 166
52 - 167       0 - 167
52 - 168       0 - 168
52 - 169       0 - 169
52 - 170       0 - 170
52 - 171       0 - 171
45 - 172       0 - 172
52 - 173       0 - 173
52 - 174       0 - 174
50 - 175       0 - 175
50 - 176       0 - 176
50 - 177       0 - 177
50 - 178       0 - 178
52 - 179       0 - 179
52 - 180       0 - 180
52 - 181       0 - 181
52 - 182       0 - 182
52 - 183       0 - 183
48 - 184       0 - 184
43 - 185       0 - 185
52 - 186       0 - 186
52 - 187       0 - 187
52 - 188       0 - 188
52 - 189       0 - 189
52 - 190       0 - 190
52 - 191       0 - 191
52 - 192       -1 - 192
52 - 193       0 - 193
