49 - 1       0 - 1
92 - 2       0 - 2
102 - 3       0 - 3
102 - 4       0 - 4
81 - 5       0 - 5
105 - 6       0 - 6
102 - 7       0 - 7
81 - 8       0 - 8
81 - 9       0 - 9
81 - 10       0 - 10
92 - 11       0 - 11
81 - 12       0 - 12
102 - 13       0 - 13
102 - 14       0 - 14
102 - 15       0 - 15
102 - 16       0 - 16
79 - 17       0 - 17
81 - 18       0 - 18
79 - 19       0 - 19
81 - 20       0 - 20
81 - 21       0 - 21
81 - 22       0 - 22
79 - 23       0 - 23
79 - 24       0 - 24
81 - 25       0 - 25
79 - 26       0 - 26
81 - 27       0 - 27
92 - 28       0 - 28
79 - 29       0 - 29
102 - 30       0 - 30
81 - 31       0 - 31
81 - 32       0 - 32
79 - 33       0 - 33
102 - 34       0 - 34
92 - 35       0 - 35
81 - 36       0 - 36
81 - 37       0 - 37
81 - 38       0 - 38
81 - 39       0 - 39
81 - 40       0 - 40
93 - 41       0 - 41
81 - 42       0 - 42
81 - 43       0 - 43
92 - 44       0 - 44
81 - 45       0 - 45
92 - 46       0 - 46
92 - 47       0 - 47
102 - 48       0 - 48
105 - 49       0 - 49
105 - 50       0 - 50
105 - 51       0 - 51
85 - 52       0 - 52
81 - 53       0 - 53
92 - 54       0 - 54
81 - 55       0 - 55
92 - 56       0 - 56
79 - 57       0 - 57
102 - 58       0 - 58
107 - 59       0 - 59
102 - 60       0 - 60
92 - 61       0 - 61
102 - 62       0 - 62
102 - 63       0 - 63
92 - 64       0 - 64
92 - 65       0 - 65
102 - 66       0 - 66
102 - 67       0 - 67
92 - 68       0 - 68
102 - 69       0 - 69
79 - 70       0 - 70
105 - 71       -1 - 71
81 - 72       0 - 72
79 - 73       0 - 73
102 - 74       0 - 74
91 - 75       0 - 75
79 - 76       0 - 76
79 - 77       0 - 77
102 - 78       0 - 78
79 - 79       0 - 79
95 - 80       0 - 80
81 - 81       0 - 81
102 - 82       0 - 82
92 - 83       0 - 83
92 - 84       0 - 84
105 - 85       0 - 85
81 - 86       0 - 86
102 - 87       0 - 87
