9730.0 - 173       0.0 - 173
9730.0 - 174       -1.0221 - 174
9730.0 - 175       -1.069 - 175
9730.0 - 176       -1.0227 - 176
9730.0 - 177       0.0 - 177
9730.0 - 178       -1.0699 - 178
9730.0 - 179       -1.1653 - 179
9730.0 - 180       -1.1676 - 180
9730.0 - 181       3874.0 - 181
9730.0 - 182       -1.117 - 182
9730.0 - 183       -1.0231 - 183
9730.0 - 184       -1.2148 - 184
9730.0 - 185       -1.0698 - 185
9730.0 - 186       -1.1166 - 186
9730.0 - 187       -1.3137 - 187
9730.0 - 188       0.0 - 188
9730.0 - 189       0.0 - 189
9730.0 - 190       -1.0181 - 190
9730.0 - 191       0.0 - 191
9730.0 - 192       -1.1158 - 192
9730.0 - 193       -1.9428 - 193
9730.0 - 194       -1.167 - 194
9730.0 - 195       -1.217 - 195
9730.0 - 196       -1.1659 - 196
9730.0 - 197       0.0 - 197
9730.0 - 198       -1.0668 - 198
9730.0 - 199       0.0 - 199
9730.0 - 200       -1.9428 - 200
9730.0 - 201       -1.1656 - 201
9730.0 - 202       -1.1654 - 202
9730.0 - 203       -1.0694 - 203
9730.0 - 204       -1.2146 - 204
9730.0 - 205       -1.0695 - 205
9730.0 - 206       -1.1204 - 206
9730.0 - 207       -1.2145 - 207
9730.0 - 208       -1.0192 - 208
9730.0 - 209       -1.1196 - 209
9730.0 - 210       -1.9428 - 210
9730.0 - 211       -1.071 - 211
9730.0 - 212       0.0 - 212
9730.0 - 213       -1.8942 - 213
9730.0 - 214       -1.5066 - 214
9730.0 - 215       0.0 - 215
9730.0 - 216       0.0 - 216
9730.0 - 217       -1.1667 - 217
9730.0 - 218       -1.2151 - 218
9730.0 - 219       0.0 - 219
9730.0 - 220       -1.2645 - 220
9730.0 - 221       3378.0 - 221
9730.0 - 222       -1.9428 - 222
9730.0 - 223       -1.0702 - 223
9730.0 - 224       0.0 - 224
9730.0 - 225       -1.0219 - 225
9730.0 - 226       -1.216 - 226
9730.0 - 227       -1.1185 - 227
9730.0 - 228       -1.0694 - 228
9730.0 - 229       -1.2183 - 229
9730.0 - 230       -1.118 - 230
9730.0 - 231       -1.0676 - 231
9730.0 - 232       -1.1136 - 232
9730.0 - 233       -1.0202 - 233
9730.0 - 234       -1.0691 - 234
9730.0 - 235       -1.1186 - 235
9730.0 - 236       -1.0205 - 236
9730.0 - 237       0.0 - 237
9730.0 - 238       -1.071 - 238
9730.0 - 239       -1.071 - 239
9730.0 - 240       0.0 - 240
9730.0 - 241       -1.0211 - 241
9730.0 - 242       -1.9428 - 242
9730.0 - 243       0.0 - 243
9730.0 - 244       -1.9428 - 244
9730.0 - 245       -1.0713 - 245
9730.0 - 246       -1.9428 - 246
9730.0 - 247       -1.3594 - 247
9730.0 - 248       -1.0725 - 248
9730.0 - 249       -1.071 - 249
9730.0 - 250       -1.0223 - 250
9730.0 - 251       -1.1211 - 251
9730.0 - 252       -1.9428 - 252
9730.0 - 253       -1.0237 - 253
9730.0 - 254       -1.0221 - 254
9730.0 - 255       -1.0689 - 255
9730.0 - 256       -1.1663 - 256
9730.0 - 257       -1.1173 - 257
9730.0 - 258       -1.0681 - 258
9730.0 - 259       -1.2144 - 259
9730.0 - 260       -1.9428 - 260
9730.0 - 261       -1.2643 - 261
9730.0 - 262       0.0 - 262
9730.0 - 263       -1.0212 - 263
9730.0 - 264       -1.9428 - 264
9730.0 - 265       -1.0681 - 265
9730.0 - 266       -1.0241 - 266
9730.0 - 267       -1.0712 - 267
9730.0 - 268       -1.9428 - 268
9730.0 - 269       0.0 - 269
9730.0 - 270       -1.2168 - 270
9730.0 - 271       -1.2149 - 271
9730.0 - 272       -1.0239 - 272
9730.0 - 273       -1.021 - 273
9730.0 - 274       -1.0678 - 274
9730.0 - 275       -1.0706 - 275
9730.0 - 276       -1.0692 - 276
9730.0 - 277       0.0 - 277
9730.0 - 278       -1.0702 - 278
9730.0 - 279       -1.1182 - 279
9730.0 - 280       -1.1681 - 280
9730.0 - 281       0.0 - 281
9730.0 - 282       -1.9428 - 282
9730.0 - 283       0.0 - 283
9730.0 - 284       -1.1655 - 284
9730.0 - 285       -1.1199 - 285
9730.0 - 286       -1.0698 - 286
9730.0 - 287       -1.1688 - 287
9730.0 - 288       -1.07 - 288
9730.0 - 289       -1.2171 - 289
9730.0 - 290       -1.1176 - 290
9730.0 - 291       -1.1661 - 291
9730.0 - 292       0.0 - 292
9730.0 - 293       -1.2629 - 293
9730.0 - 294       -1.0689 - 294
9730.0 - 295       -1.1157 - 295
9730.0 - 296       -1.069 - 296
9730.0 - 297       -1.1653 - 297
9730.0 - 298       0.0 - 298
9730.0 - 299       -1.0707 - 299
9730.0 - 300       0.0 - 300
9730.0 - 301       0.0 - 301
9730.0 - 302       -1.9428 - 302
9730.0 - 303       -1.2637 - 303
9730.0 - 304       -1.1186 - 304
9730.0 - 305       -1.9428 - 305
9730.0 - 306       -1.071 - 306
9730.0 - 307       -1.0711 - 307
9730.0 - 308       -1.0657 - 308
9730.0 - 309       -1.0722 - 309
9730.0 - 310       -1.1194 - 310
9730.0 - 311       -1.9428 - 311
9730.0 - 312       0.0 - 312
9730.0 - 313       -1.019 - 313
9730.0 - 314       -1.0695 - 314
9730.0 - 315       -1.3127 - 315
9730.0 - 316       -1.9428 - 316
9730.0 - 317       -1.1642 - 317
9730.0 - 318       -1.071 - 318
9730.0 - 319       -1.0718 - 319
9730.0 - 320       -1.2617 - 320
9730.0 - 321       -1.0223 - 321
9730.0 - 322       -1.0661 - 322
9730.0 - 323       -1.1669 - 323
9730.0 - 324       0.0 - 324
9730.0 - 325       -1.0715 - 325
9730.0 - 326       0.0 - 326
9730.0 - 327       -1.0243 - 327
9730.0 - 328       -1.1161 - 328
9730.0 - 329       -1.2143 - 329
9730.0 - 330       -1.1678 - 330
9730.0 - 331       0.0 - 331
9730.0 - 332       0.0 - 332
9730.0 - 333       2412.0 - 333
9730.0 - 334       -1.2148 - 334
9730.0 - 335       0.0 - 335
9730.0 - 336       -1.9428 - 336
9730.0 - 337       0.0 - 337
9730.0 - 338       -1.1654 - 338
9730.0 - 339       -1.1671 - 339
9730.0 - 340       -1.1158 - 340
9730.0 - 341       -1.1686 - 341
9730.0 - 342       -1.1153 - 342
9730.0 - 343       3376.0 - 343
9730.0 - 344       -1.0698 - 344
9730.0 - 345       -1.1201 - 345
9730.0 - 346       -1.1688 - 346
9730.0 - 347       -1.2117 - 347
9730.0 - 348       -1.1671 - 348
9730.0 - 349       -1.0198 - 349
9730.0 - 350       -1.1212 - 350
9730.0 - 351       -1.1178 - 351
9730.0 - 352       -1.1697 - 352
9730.0 - 353       -1.9428 - 353
9730.0 - 354       0.0 - 354
