130 - 263       0 - 263
130 - 264       0 - 264
130 - 265       36 - 265
130 - 266       33 - 266
130 - 267       24 - 267
118 - 268       24 - 268
130 - 269       -1 - 269
130 - 270       24 - 270
130 - 271       0 - 271
130 - 272       36 - 272
130 - 273       48 - 273
130 - 274       12 - 274
130 - 275       0 - 275
130 - 276       12 - 276
130 - 277       0 - 277
130 - 278       0 - 278
130 - 279       36 - 279
130 - 280       -1 - 280
130 - 281       33 - 281
130 - 282       36 - 282
130 - 283       36 - 283
130 - 284       33 - 284
130 - 285       45 - 285
130 - 286       24 - 286
130 - 287       60 - 287
130 - 288       69 - 288
130 - 289       0 - 289
130 - 290       -1 - 290
130 - 291       0 - 291
130 - 292       24 - 292
130 - 293       45 - 293
130 - 294       24 - 294
130 - 295       36 - 295
130 - 296       -1 - 296
130 - 297       0 - 297
130 - 298       36 - 298
130 - 299       0 - 299
130 - 300       -1 - 300
130 - 301       69 - 301
130 - 302       24 - 302
130 - 303       36 - 303
130 - 304       0 - 304
130 - 305       -1 - 305
130 - 306       45 - 306
130 - 307       36 - 307
130 - 308       48 - 308
130 - 309       61 - 309
130 - 310       33 - 310
130 - 311       61 - 311
130 - 312       69 - 312
130 - 313       24 - 313
130 - 314       0 - 314
130 - 315       12 - 315
130 - 316       48 - 316
130 - 317       12 - 317
130 - 318       24 - 318
130 - 319       36 - 319
130 - 320       36 - 320
130 - 321       0 - 321
130 - 322       37 - 322
130 - 323       24 - 323
130 - 324       12 - 324
130 - 325       61 - 325
130 - 326       45 - 326
130 - 327       69 - 327
130 - 328       36 - 328
130 - 329       48 - 329
130 - 330       45 - 330
130 - 331       -1 - 331
130 - 332       36 - 332
130 - 333       -1 - 333
130 - 334       -1 - 334
130 - 335       12 - 335
130 - 336       24 - 336
130 - 337       -1 - 337
130 - 338       12 - 338
130 - 339       48 - 339
130 - 340       45 - 340
130 - 341       37 - 341
130 - 342       0 - 342
130 - 343       36 - 343
130 - 344       -1 - 344
130 - 345       36 - 345
