46 - 1       0 - 1
62 - 2       0 - 2
102 - 3       0 - 3
81 - 4       0 - 4
81 - 5       0 - 5
92 - 6       0 - 6
81 - 7       0 - 7
81 - 8       0 - 8
88 - 9       0 - 9
100 - 10       0 - 10
105 - 11       0 - 11
90 - 12       0 - 12
90 - 13       0 - 13
81 - 14       0 - 14
80 - 15       0 - 15
102 - 16       0 - 16
85 - 17       0 - 17
85 - 18       0 - 18
85 - 19       0 - 19
83 - 20       0 - 20
92 - 21       0 - 21
105 - 22       0 - 22
82 - 23       0 - 23
92 - 24       0 - 24
82 - 25       0 - 25
81 - 26       0 - 26
92 - 27       0 - 27
102 - 28       0 - 28
87 - 29       0 - 29
97 - 30       0 - 30
82 - 31       0 - 31
90 - 32       0 - 32
83 - 33       0 - 33
87 - 34       0 - 34
76 - 35       0 - 35
92 - 36       0 - 36
87 - 37       0 - 37
95 - 38       0 - 38
102 - 39       0 - 39
97 - 40       0 - 40
102 - 41       0 - 41
85 - 42       0 - 42
95 - 43       0 - 43
97 - 44       0 - 44
102 - 45       0 - 45
102 - 46       0 - 46
100 - 47       0 - 47
77 - 48       0 - 48
102 - 49       0 - 49
95 - 50       0 - 50
92 - 51       0 - 51
92 - 52       0 - 52
85 - 53       0 - 53
81 - 54       0 - 54
74 - 55       0 - 55
92 - 56       0 - 56
79 - 57       0 - 57
92 - 58       0 - 58
79 - 59       0 - 59
85 - 60       0 - 60
95 - 61       0 - 61
92 - 62       0 - 62
79 - 63       0 - 63
87 - 64       0 - 64
97 - 65       0 - 65
92 - 66       0 - 66
85 - 67       0 - 67
81 - 68       0 - 68
100 - 69       0 - 69
87 - 70       0 - 70
59 - 71       0 - 71
102 - 72       0 - 72
79 - 73       0 - 73
96 - 74       0 - 74
95 - 75       0 - 75
102 - 76       0 - 76
102 - 77       0 - 77
97 - 78       0 - 78
107 - 79       0 - 79
102 - 80       0 - 80
95 - 81       0 - 81
85 - 82       0 - 82
107 - 83       0 - 83
85 - 84       0 - 84
102 - 85       0 - 85
102 - 86       0 - 86
85 - 87       0 - 87
85 - 88       0 - 88
97 - 89       0 - 89
90 - 90       0 - 90
97 - 91       0 - 91
82 - 92       0 - 92
97 - 93       0 - 93
92 - 94       0 - 94
95 - 95       0 - 95
82 - 96       0 - 96
92 - 97       0 - 97
85 - 98       0 - 98
92 - 99       0 - 99
90 - 100       0 - 100
95 - 101       0 - 101
80 - 102       0 - 102
107 - 103       0 - 103
95 - 104       0 - 104
105 - 105       0 - 105
92 - 106       0 - 106
100 - 107       0 - 107
