106 - 267       36 - 267
118 - 268       0 - 268
93 - 269       36 - 269
118 - 270       45 - 270
118 - 271       36 - 271
109 - 272       12 - 272
130 - 273       36 - 273
130 - 274       0 - 274
109 - 275       24 - 275
130 - 276       0 - 276
118 - 277       37 - 277
130 - 278       36 - 278
106 - 279       57 - 279
118 - 280       37 - 280
118 - 281       61 - 281
130 - 282       49 - 282
97 - 283       24 - 283
106 - 284       24 - 284
118 - 285       49 - 285
130 - 286       69 - 286
109 - 287       12 - 287
106 - 288       33 - 288
109 - 289       36 - 289
130 - 290       48 - 290
106 - 291       33 - 291
82 - 292       12 - 292
130 - 293       69 - 293
130 - 294       61 - 294
97 - 295       45 - 295
82 - 296       24 - 296
118 - 297       57 - 297
130 - 298       12 - 298
94 - 299       24 - 299
130 - 300       49 - 300
130 - 301       36 - 301
130 - 302       0 - 302
130 - 303       61 - 303
81 - 304       24 - 304
130 - 305       12 - 305
93 - 306       0 - 306
106 - 307       12 - 307
118 - 308       0 - 308
130 - 309       36 - 309
109 - 310       33 - 310
118 - 311       24 - 311
130 - 312       49 - 312
130 - 313       37 - 313
109 - 314       33 - 314
118 - 315       24 - 315
130 - 316       73 - 316
106 - 317       0 - 317
109 - 318       12 - 318
94 - 319       36 - 319
130 - 320       33 - 320
118 - 321       0 - 321
118 - 322       33 - 322
130 - 323       0 - 323
106 - 324       0 - 324
130 - 325       36 - 325
106 - 326       45 - 326
106 - 327       0 - 327
109 - 328       24 - 328
106 - 329       36 - 329
130 - 330       0 - 330
118 - 331       12 - 331
97 - 332       24 - 332
106 - 333       0 - 333
73 - 334       24 - 334
109 - 335       37 - 335
118 - 336       60 - 336
106 - 337       0 - 337
106 - 338       0 - 338
130 - 339       69 - 339
106 - 340       37 - 340
130 - 341       48 - 341
130 - 342       48 - 342
130 - 343       12 - 343
130 - 344       36 - 344
85 - 345       48 - 345
130 - 346       69 - 346
106 - 347       36 - 347
130 - 348       37 - 348
130 - 349       57 - 349
106 - 350       45 - 350
97 - 351       37 - 351
85 - 352       0 - 352
130 - 353       12 - 353
93 - 354       12 - 354
130 - 355       37 - 355
109 - 356       33 - 356
130 - 357       33 - 357
130 - 358       12 - 358
130 - 359       36 - 359
106 - 360       37 - 360
118 - 361       24 - 361
106 - 362       33 - 362
109 - 363       24 - 363
106 - 364       0 - 364
118 - 365       36 - 365
130 - 366       36 - 366
94 - 367       36 - 367
109 - 368       45 - 368
118 - 369       12 - 369
118 - 370       0 - 370
106 - 371       24 - 371
97 - 372       24 - 372
118 - 373       0 - 373
106 - 374       24 - 374
109 - 375       45 - 375
130 - 376       37 - 376
109 - 377       36 - 377
93 - 378       36 - 378
130 - 379       36 - 379
106 - 380       0 - 380
118 - 381       36 - 381
106 - 382       24 - 382
82 - 383       0 - 383
118 - 384       49 - 384
93 - 385       0 - 385
130 - 386       37 - 386
109 - 387       24 - 387
106 - 388       36 - 388
130 - 389       0 - 389
106 - 390       24 - 390
130 - 391       36 - 391
130 - 392       36 - 392
130 - 393       60 - 393
118 - 394       36 - 394
106 - 395       36 - 395
118 - 396       37 - 396
97 - 397       24 - 397
130 - 398       48 - 398
106 - 399       24 - 399
97 - 400       36 - 400
118 - 401       33 - 401
118 - 402       0 - 402
106 - 403       36 - 403
118 - 404       48 - 404
106 - 405       33 - 405
118 - 406       12 - 406
97 - 407       33 - 407
109 - 408       12 - 408
106 - 409       37 - 409
130 - 410       0 - 410
109 - 411       0 - 411
130 - 412       12 - 412
118 - 413       57 - 413
130 - 414       37 - 414
130 - 415       57 - 415
106 - 416       12 - 416
130 - 417       48 - 417
109 - 418       45 - 418
130 - 419       94 - 419
118 - 420       49 - 420
130 - 421       33 - 421
118 - 422       24 - 422
109 - 423       45 - 423
118 - 424       0 - 424
118 - 425       69 - 425
130 - 426       33 - 426
94 - 427       0 - 427
97 - 428       24 - 428
109 - 429       12 - 429
106 - 430       12 - 430
109 - 431       36 - 431
109 - 432       45 - 432
109 - 433       24 - 433
85 - 434       36 - 434
109 - 435       0 - 435
118 - 436       33 - 436
106 - 437       36 - 437
106 - 438       12 - 438
109 - 439       36 - 439
130 - 440       48 - 440
130 - 441       49 - 441
118 - 442       24 - 442
118 - 443       0 - 443
118 - 444       12 - 444
130 - 445       36 - 445
118 - 446       37 - 446
130 - 447       36 - 447
82 - 448       24 - 448
109 - 449       48 - 449
109 - 450       24 - 450
130 - 451       73 - 451
118 - 452       36 - 452
106 - 453       45 - 453
118 - 454       33 - 454
130 - 455       24 - 455
109 - 456       24 - 456
106 - 457       57 - 457
106 - 458       0 - 458
106 - 459       37 - 459
118 - 460       45 - 460
118 - 461       12 - 461
106 - 462       12 - 462
106 - 463       33 - 463
106 - 464       36 - 464
109 - 465       37 - 465
118 - 466       36 - 466
118 - 467       69 - 467
94 - 468       12 - 468
109 - 469       69 - 469
118 - 470       0 - 470
130 - 471       33 - 471
109 - 472       24 - 472
130 - 473       36 - 473
130 - 474       33 - 474
130 - 475       70 - 475
106 - 476       12 - 476
109 - 477       24 - 477
106 - 478       0 - 478
130 - 479       0 - 479
130 - 480       36 - 480
118 - 481       0 - 481
130 - 482       61 - 482
106 - 483       36 - 483
118 - 484       24 - 484
130 - 485       37 - 485
130 - 486       0 - 486
130 - 487       12 - 487
118 - 488       60 - 488
106 - 489       24 - 489
130 - 490       33 - 490
109 - 491       24 - 491
130 - 492       0 - 492
130 - 493       36 - 493
73 - 494       48 - 494
118 - 495       72 - 495
109 - 496       37 - 496
106 - 497       36 - 497
106 - 498       45 - 498
130 - 499       70 - 499
118 - 500       24 - 500
130 - 501       36 - 501
130 - 502       69 - 502
130 - 503       45 - 503
109 - 504       0 - 504
130 - 505       49 - 505
109 - 506       36 - 506
94 - 507       0 - 507
109 - 508       0 - 508
106 - 509       33 - 509
130 - 510       57 - 510
82 - 511       0 - 511
106 - 512       45 - 512
97 - 513       36 - 513
106 - 514       12 - 514
85 - 515       36 - 515
97 - 516       0 - 516
130 - 517       69 - 517
82 - 518       24 - 518
109 - 519       24 - 519
106 - 520       36 - 520
97 - 521       24 - 521
94 - 522       24 - 522
106 - 523       0 - 523
94 - 524       24 - 524
118 - 525       45 - 525
130 - 526       36 - 526
130 - 527       24 - 527
130 - 528       36 - 528
97 - 529       12 - 529
118 - 530       24 - 530
130 - 531       60 - 531
130 - 532       33 - 532
106 - 533       33 - 533
106 - 534       12 - 534
109 - 535       12 - 535
118 - 536       0 - 536
