9724 - 1       8294 - 1
9621 - 2       -1 - 2
9708 - 3       5725 - 3
9733 - 4       8635 - 4
9222 - 5       6299 - 5
9587 - 6       5328 - 6
9716 - 7       7280 - 7
9742 - 8       4747 - 8
9701 - 9       7656 - 9
9598 - 10       8609 - 10
9592 - 11       6311 - 11
9245 - 12       -1 - 12
9593 - 13       7748 - 13
9604 - 14       6778 - 14
9690 - 15       8240 - 15
9596 - 16       5338 - 16
9695 - 17       6189 - 17
9700 - 18       6683 - 18
9710 - 19       4859 - 19
9710 - 20       7782 - 20
9225 - 21       5832 - 21
9241 - 22       4841 - 22
9692 - 23       7167 - 23
9712 - 24       7156 - 24
9720 - 25       8728 - 25
9597 - 26       6205 - 26
9709 - 27       4364 - 27
9602 - 28       6808 - 28
9111 - 29       5816 - 29
9706 - 30       7659 - 30
9589 - 31       4754 - 31
9572 - 32       -1 - 32
9735 - 33       7769 - 33
9722 - 34       6337 - 34
9602 - 35       -1 - 35
9239 - 36       6785 - 36
9241 - 37       6313 - 37
9702 - 38       7662 - 38
9708 - 39       8612 - 39
9248 - 40       6325 - 40
9206 - 41       5715 - 41
9700 - 42       4360 - 42
9696 - 43       7275 - 43
9710 - 44       6778 - 44
9693 - 45       4374 - 45
9720 - 46       7278 - 46
9214 - 47       5343 - 47
9218 - 48       4865 - 48
9719 - 49       5721 - 49
9124 - 50       4376 - 50
9607 - 51       7281 - 51
9716 - 52       8111 - 52
9671 - 53       7784 - 53
9261 - 54       6190 - 54
9734 - 55       7170 - 55
9120 - 56       5323 - 56
9112 - 57       6218 - 57
9225 - 58       7789 - 58
9695 - 59       6808 - 59
8777 - 60       3278 - 60
9709 - 61       6185 - 61
9216 - 62       7171 - 62
9132 - 63       -1 - 63
9714 - 64       7661 - 64
9229 - 65       6205 - 65
9710 - 66       6310 - 66
9100 - 67       6789 - 67
9200 - 68       7759 - 68
9569 - 69       4343 - 69
9216 - 70       7187 - 70
9713 - 71       6685 - 71
9607 - 72       4724 - 72
9706 - 73       7675 - 73
9709 - 74       4723 - 74
9717 - 75       6803 - 75
9235 - 76       5834 - 76
9702 - 77       6202 - 77
9229 - 78       5226 - 78
9737 - 79       6320 - 79
9087 - 80       7305 - 80
9213 - 81       6330 - 81
9708 - 82       5337 - 82
9626 - 83       7653 - 83
9239 - 84       5214 - 84
9694 - 85       7639 - 85
9597 - 86       6197 - 86
9610 - 87       5700 - 87
9227 - 88       5829 - 88
9696 - 89       3407 - 89
9702 - 90       7291 - 90
9608 - 91       6684 - 91
9205 - 92       7270 - 92
9737 - 93       8137 - 93
9599 - 94       6704 - 94
9241 - 95       7298 - 95
9590 - 96       -1 - 96
9716 - 97       4844 - 97
9204 - 98       4270 - 98
9709 - 99       7650 - 99
9253 - 100       7177 - 100
9254 - 101       6198 - 101
9723 - 102       5835 - 102
9591 - 103       6320 - 103
9216 - 104       7157 - 104
9696 - 105       5213 - 105
9587 - 106       8144 - 106
9119 - 107       4878 - 107
9714 - 108       7664 - 108
9704 - 109       7757 - 109
